star_id,ra,dec,gaia_source_list,g_mag_list,ruwe,flux
TIC 25063215,"[59.91796941423028, 59.86332753574062, 59.91629978749079, 59.93132673498551, 59.92936922167692, 59.85445547990927, 59.92796492364951, 59.88490392648437, 59.95368125498627, 59.956961680551224, 59.86951840802136, 59.93493702896738, 59.94245236409198]","[-71.48982470244596, -71.49476486798241, -71.50506230286591, -71.47984841123146, -71.48115683945122, -71.49336754889372, -71.50101583440991, -71.4903592857352, -71.48268999572728, -71.49740101152697, -71.48546868960241, -71.49227346430288, -71.48709340895667]","[4665795669986012672, 4665796318524950016, 4665795493891225984, 4665795700049663104, 4665795665689924864, 4665796284165211776, 4665795493891226880, 4665795562610706560, 4665795631330185600, 4665795601266083840, 4665796322820728960, 4665795601266223488, 4665795601266804224]","[13.097174, 16.406036, 17.073528, 17.366947, 17.596287, 18.50741, 19.381826, 20.78868, 21.229313]","[1.0043079, 0.98257023, 1.0143121, 1.3262529, 0.9888896, 0.99909604, 1.0635775, 0.9692733, 0.96517974, 1.1167951, 1.0523219, masked, masked]","[108661.88172642648, 5158.605529940402, 2789.557164709582, 2128.9611677758517, 1723.5826148771202, 808.5465641047044, 744.7017777141532, 496.24227310883725, 332.8250494782922, 162.5803161281952, 91.09092900262415, 73.66214543193423, 60.70464123970592]"
TIC 25063281,"[60.006350082892915, 60.01575799436145, 60.0171946157127, 59.99491964676541, 60.002814773453, 59.99683813655176]","[-71.26290200089176, -71.26535519748013, -71.26513177287269, -71.26464914526301, -71.2573491088686, -71.2650762591646]","[4665940324484716032, 4665940324484716544, 4665940358843379328, 4665940324484715520, 4665940354548508800, 4665940324484046720]","[15.086234, 16.172731, 16.757551, 17.97549, 19.269651]","[1.0264387, 1.0252849, 0.9630254, 1.0279746, 1.0057127, 1.1091743]","[17396.143517917622, 6395.20530463246, 3731.866819986251, 1215.4871592276259, 369.05085538711967, 126.04435901895451]"
TIC 25063296,"[60.06816733450804, 60.03217391009194, 60.058955598446886]","[-71.23163397416855, -71.23246268592902, -71.22966050528126]","[4665940496283406848, 4665940496283405824, 4665940496283406208]","[11.281767, 17.257433]","[0.9132897, 0.97983295, 0.89631116]","[578415.4828940706, 3343.1984975410755, 2354.905812781557]"
TIC 25063656,"[59.9532899988492, 59.94063852361616, 59.92671278813971]","[-70.07223557638738, -70.08015276136, -70.07523942840314]","[4666574532239285504, 4666574158577604096, 4666574158577590144]","[11.89598, 20.704649]","[1.0475904, 1.0672929, 0.9568749]","[328514.74533165386, 140.66292391800013, 98.4208970661122]"
TIC 25063768,"[59.9857608403754, 59.97081989925933, 59.98039423240336]","[-69.72056629799012, -69.72014727390355, -69.7203606123447]","[4666590238935805184, 4666590204576066176, 4666590238934886272]","[15.404266, 17.298012, 18.242384]","[1.0265985, 1.0128759, 1.0237459]","[12978.9679483155, 2268.515147894547, 950.5894621285333]"
